Title,Genre,Duration,Rating,Voting
Eden,Thriller,2h,6.3,5.5K
Heretic,Thriller,1h 51m,7.0,170K
Twisters,Thriller,2h 2m,6.5,178K
Kraven the Hunter,Thriller,2h 7m,5.5,66K
The Surfer,Thriller,1h 40m,6.0,11K
Push,Thriller,1h 29m,4.7,366
The Order,Thriller,1h 56m,6.8,51K
Conclave,Thriller,2h,7.4,209K
Babygirl,Thriller,1h 54m,5.8,65K
Juror #2,Thriller,1h 54m,7.0,107K
Long Distance,Thriller,1h 27m,5.7,4.3K
Longlegs,Thriller,1h 41m,6.6,196K
Speak No Evil,Thriller,1h 50m,6.8,113K
Alien: Romulus,Thriller,1h 59m,7.1,256K
Carry-On,Thriller,1h 59m,6.5,174K
Presence,Thriller,1h 24m,6.1,31K
Blink Twice,Thriller,1h 42m,6.5,113K
Wolfs,Thriller,1h 48m,6.5,90K
Civil War,Thriller,1h 49m,7.0,246K
Venom: The Last Dance,Thriller,1h 50m,6.0,133K
The Count of Monte-Cristo,Thriller,2h 58m,7.6,38K
The Beekeeper,Thriller,1h 45m,6.3,164K
Smile 2,Thriller,2h 7m,6.7,117K
Joker: Folie à Deux,Thriller,2h 18m,5.2,167K
Road House,Thriller,2h 1m,6.2,172K
The Shrouds,Thriller,2h,5.8,4.8K
Trap,Thriller,1h 45m,5.8,146K
40 Acres,Thriller,1h 53m,7.1,818
Salem's Lot,Thriller,1h 54m,5.6,36K
The Rule of Jenny Pen,Thriller,1h 44m,6.2,6.7K
The Luckiest Man in America,Thriller,1h 31m,6.2,4.3K
Elevation,Thriller,1h 31m,5.6,25K
Caddo Lake,Thriller,1h 43m,6.8,46K
1978,Thriller,1h 20m,5.0,789
Rebel Ridge,Thriller,2h 11m,6.8,92K
Godzilla x Kong: The New Empire,Thriller,1h 55m,6.0,125K
Argylle,Thriller,2h 19m,5.6,95K
Abigail,Thriller,1h 49m,6.5,101K
Oddity,Thriller,1h 38m,6.7,47K
A Quiet Place: Day One,Thriller,1h 39m,6.3,157K
Madame Web,Thriller,1h 56m,4.1,104K
Borderlands,Thriller,1h 41m,4.7,51K
Land of Bad,Thriller,1h 53m,6.6,54K
The Instigators,Thriller,1h 41m,6.2,39K
The Crow,Thriller,1h 51m,4.7,37K
Subservience,Thriller,1h 46m,5.4,30K
Saint Clare,Thriller,1h 32m,5.1,145
Bad Boys: Ride or Die,Thriller,1h 55m,6.5,104K
Emilia Pérez,Thriller,2h 12m,5.4,92K
A Different Man,Thriller,1h 52m,6.9,32K
Pune Highway,Thriller,2h 1m,5.1,318
Kingdom of the Planet of the Apes,Thriller,2h 25m,6.8,156K
Relay,Thriller,1h 52m,7.3,149
Lucky Baskhar,Thriller,2h 28m,8.0,35K
September 5,Thriller,1h 35m,7.1,28K
Maharaja,Thriller,2h 21m,8.4,72K
The Union,Thriller,1h 47m,5.4,55K
Don't Move,Thriller,1h 32m,5.8,41K
Love Lies Bleeding,Thriller,1h 44m,6.6,59K
The Watchers,Thriller,1h 42m,5.7,59K
It's What's Inside,Thriller,1h 43m,6.6,45K
Kung Fu Panda 4,Thriller,1h 34m,6.3,71K
F*** Marry Kill,Thriller,1h 37m,5.3,3.4K
The Killer,Thriller,2h 6m,5.7,14K
Survive,Thriller,1h 30m,4.6,3.4K
Immaculate,Thriller,1h 29m,5.8,55K
