Title,Genre,Duration,Rating,Voting
The Unholy Trinity,Action,1h 35m,5.5,1.8K
Twisters,Action,2h 2m,6.5,178K
Gladiator II,Action,2h 28m,6.5,260K
Kraven the Hunter,Action,2h 7m,5.5,66K
Dune: Part Two,Action,2h 46m,8.5,649K
Deadpool & Wolverine,Action,2h 8m,7.5,513K
The Ministry of Ungentlemanly Warfare,Action,2h 2m,6.8,141K
Furiosa: A Mad Max Saga,Action,2h 28m,7.5,294K
William Tell,Action,2h 14m,5.7,3.6K
Carry-On,Action,1h 59m,6.5,174K
Sonic the Hedgehog 3,Action,1h 50m,6.9,67K
The Fall Guy,Action,2h 6m,6.8,229K
Civil War,Action,1h 49m,7.0,246K
Venom: The Last Dance,Action,1h 50m,6.0,133K
The Count of Monte-Cristo,Action,2h 58m,7.6,38K
The Beekeeper,Action,1h 45m,6.3,164K
Road House,Action,2h 1m,6.2,172K
Freaky Tales,Action,1h 47m,6.2,7.9K
40 Acres,Action,1h 53m,7.1,818
Fight or Flight,Action,1h 42m,6.4,16K
Elevation,Action,1h 31m,5.6,25K
Rebel Ridge,Action,2h 11m,6.8,92K
Godzilla x Kong: The New Empire,Action,1h 55m,6.0,125K
Argylle,Action,2h 19m,5.6,95K
Abigail,Action,1h 49m,6.5,101K
Transformers One,Action,1h 44m,7.6,55K
Madame Web,Action,1h 56m,4.1,104K
Borderlands,Action,1h 41m,4.7,51K
Land of Bad,Action,1h 53m,6.6,54K
The Instigators,Action,1h 41m,6.2,39K
The Crow,Action,1h 51m,4.7,37K
Bad Boys: Ride or Die,Action,1h 55m,6.5,104K
Kingdom of the Planet of the Apes,Action,2h 25m,6.8,156K
Relay,Action,1h 52m,7.3,149
Maharaja,Action,2h 21m,8.4,72K
The Union,Action,1h 47m,5.4,55K
Damsel,Action,1h 50m,6.1,112K
Red One,Action,2h 3m,6.3,143K
Kung Fu Panda 4,Action,1h 34m,6.3,71K
The Killer,Action,2h 6m,5.7,14K
Survive,Action,1h 30m,4.6,3.4K
Monkey Man,Action,2h 1m,6.8,94K
Canary Black,Action,1h 41m,5.4,12K
Drive-Away Dolls,Action,1h 24m,5.4,25K
The Lord of the Rings: The War of the Rohirrim,Action,2h 14m,6.3,34K
Absolution,Action,1h 52m,5.2,9.2K
Homestead,Action,1h 52m,5.2,4.3K
Dirty Angels,Action,1h 44m,4.4,4.3K
Jackpot!,Action,1h 46m,5.8,32K
The Silent Hour,Action,1h 39m,6.1,8.6K
Beverly Hills Cop: Axel F,Action,1h 58m,6.4,83K
Kalki 2898 AD,Action,3h,7.0,69K
Pushpa: The Rule - Part 2,Action,3h 21m,6.1,59K
The Killer's Game,Action,1h 44m,5.8,19K
Attack on Titan the Movie: The Last Attack,Action,2h 25m,9.1,18K
Thelma,Action,1h 38m,7.0,25K
Solo Leveling: ReAwakening,Action,2h 1m,8.8,14K
Descendants: The Rise of Red,Action,1h 31m,4.7,7.4K
Blitz,Action,2h,6.2,17K
Hellboy: The Crooked Man,Action,1h 39m,4.5,15K
Arcadian,Action,1h 32m,5.5,25K
Brothers,Action,1h 29m,5.4,14K
Role Play,Action,1h 40m,5.5,19K
Apocalypse Z: The Beginning of the End,Action,1h 57m,6.1,21K
Old Guy,Action,1h 34m,5.2,3.4K
Uglies,Action,1h 40m,4.7,34K
Atlas,Action,1h 58m,5.6,57K
Weekend in Taipei,Action,1h 40m,5.7,5.5K
Rebel Moon - Part Two: The Scargiver,Action,2h 2m,5.3,60K
Azrael,Action,1h 26m,5.4,12K
Damaged,Action,1h 37m,4.7,7.7K
Lift,Action,1h 47m,5.5,50K
Under Paris,Action,1h 44m,5.2,37K
Mura,Action,2h 9m,7.2,6.5K
Watchmen: Chapter I,Action,1h 23m,7.1,7.1K
Dan Da Dan: First Encounter,Action,1h 23m,8.2,3.1K
Werewolves,Action,1h 33m,4.4,7.7K
The Prosecutor,Action,1h 57m,6.6,2.8K
Utopia,Action,1h 31m,3.7,467
Alien: Rubicon,Action,1h 26m,2.4,529
Speed 220,Action,1h 54m,6.4,1.3K
Amaran,Action,2h 47m,8.1,20K
Night Call,Action,1h 37m,6.7,2.6K
Life After Fighting,Action,2h 6m,6.4,2.2K
Justice League: Crisis on Infinite Earths - Part One,Action,1h 33m,6.2,8.9K
