Title,Genre,Duration,Rating,Voting
Anora,Comedy,2h 19m,7.5,211K
Riff Raff,Comedy,1h 43m,5.7,5.1K
Friendship,Comedy,1h 40m,6.9,15K
Deadpool & Wolverine,Comedy,2h 8m,7.5,513K
Long Distance,Comedy,1h 27m,5.7,4.3K
The Ministry of Ungentlemanly Warfare,Comedy,2h 2m,6.8,141K
A Real Pain,Comedy,1h 30m,7.1,107K
Sonic the Hedgehog 3,Comedy,1h 50m,6.9,67K
The Fall Guy,Comedy,2h 6m,6.8,229K
Beetlejuice Beetlejuice,Comedy,1h 45m,6.6,156K
Moana 2,Comedy,1h 40m,6.5,111K
Freaky Tales,Comedy,1h 47m,6.2,7.9K
Challengers,Comedy,2h 11m,7.0,160K
IF,Comedy,1h 44m,6.4,60K
Fight or Flight,Comedy,1h 42m,6.4,16K
The Idea of You,Comedy,1h 55m,6.3,76K
Sister Midnight,Comedy,1h 47m,5.8,1.4K
Argylle,Comedy,2h 19m,5.6,95K
Inside Out 2,Comedy,1h 36m,7.5,225K
Abigail,Comedy,1h 49m,6.5,101K
Kinds of Kindness,Comedy,2h 44m,6.5,62K
Fly Me to the Moon,Comedy,2h 12m,6.6,53K
Ghostbusters: Frozen Empire,Comedy,1h 55m,6.1,96K
Saturday Night,Comedy,1h 49m,6.9,34K
My Old Ass,Comedy,1h 29m,6.9,42K
Borderlands,Comedy,1h 41m,4.7,51K
Despicable Me 4,Comedy,1h 34m,6.2,69K
Sketch,Comedy,1h 32m,8.1,95
The Friend,Comedy,1h 59m,6.3,3.5K
The Instigators,Comedy,1h 41m,6.2,39K
Paddington in Peru,Comedy,1h 46m,6.7,27K
Bad Boys: Ride or Die,Comedy,1h 55m,6.5,104K
A Different Man,Comedy,1h 52m,6.9,32K
Bob Trevino Likes It,Comedy,1h 41m,7.5,2.8K
Snack Shack,Comedy,1h 52m,7.0,14K
Kneecap,Comedy,1h 45m,7.6,20K
The Union,Comedy,1h 47m,5.4,55K
The Greatest Hits,Comedy,1h 34m,6.2,7.8K
Spermageddon,Comedy,1h 20m,5.5,1.3K
Red One,Comedy,2h 3m,6.3,143K
The Visitor,Comedy,1h 41m,4.1,404
Mean Girls,Comedy,1h 52m,5.5,38K
It's What's Inside,Comedy,1h 43m,6.6,45K
Kung Fu Panda 4,Comedy,1h 34m,6.3,71K
F*** Marry Kill,Comedy,1h 37m,5.3,3.4K
Sew Torn,Comedy,1h 40m,6.0,968
Ricky Stanicky,Comedy,1h 53m,6.2,58K
On Becoming a Guinea Fowl,Comedy,1h 39m,7.0,1.4K
Misericordia,Comedy,1h 44m,6.8,2.8K
Drive-Away Dolls,Comedy,1h 24m,5.4,25K
A Family Affair,Comedy,1h 51m,5.4,38K
A Nice Indian Boy,Comedy,1h 36m,7.4,2.6K
Jackpot!,Comedy,1h 46m,5.8,32K
The Garfield Movie,Comedy,1h 41m,5.7,25K
The Day the Earth Blew Up: A Looney Tunes Movie,Comedy,1h 31m,6.9,6.5K
Beverly Hills Cop: Axel F,Comedy,1h 58m,6.4,83K
How to Make Millions Before Grandma Dies,Comedy,2h 5m,7.9,18K
Nightbitch,Comedy,1h 39m,5.5,21K
Miller's Girl,Comedy,1h 33m,5.2,25K
The Killer's Game,Comedy,1h 44m,5.8,19K
I Don't Understand You,Comedy,1h 37m,5.4,939
Eephus,Comedy,1h 39m,6.7,1.1K
Thelma,Comedy,1h 38m,7.0,25K
The Wonderful Story of Henry Sugar and Three More,Comedy,1h 28m,7.1,8.7K
Y2K,Comedy,1h 31m,4.8,17K
Modi: Three Days on the Wing of Madness,Comedy,1h 48m,5.4,651
Dìdi,Comedy,1h 33m,7.3,14K
Jane Austen Wrecked My Life,Comedy,1h 38m,6.4,963
Brothers,Comedy,1h 29m,5.4,14K
Role Play,Comedy,1h 40m,5.5,19K
Get Away,Comedy,1h 26m,5.3,7.8K
Incoming,Comedy,1h 31m,5.8,15K
Old Guy,Comedy,1h 34m,5.2,3.4K
Upgraded,Comedy,1h 44m,6.1,31K
Greedy People,Comedy,1h 52m,6.2,13K
Wallace & Gromit: Vengeance Most Fowl,Comedy,1h 22m,7.5,37K
Lift,Comedy,1h 47m,5.5,50K
Wild Wild Punjab,Comedy,1h 49m,6.2,16K
Lisa Frankenstein,Comedy,1h 41m,6.1,29K
Bad Shabbos,Comedy,1h 24m,7.2,334
Sacramento,Comedy,1h 29m,5.9,1.8K
Superboys of Malegaon,Comedy,2h 7m,7.7,6.1K
Your Monster,Comedy,1h 43m,6.4,6.5K
Holy Cow,Comedy,1h 32m,7.1,2.8K
Skincare,Comedy,1h 36m,5.7,5K
