Title,Genre,Duration,Rating,Voting
Nosferatu,Horror,2h 12m,7.2,217K
Heretic,Horror,1h 51m,7.0,170K
The Substance,Horror,2h 21m,7.2,324K
Push,Horror,1h 29m,4.7,364
Longlegs,Horror,1h 41m,6.6,196K
Speak No Evil,Horror,1h 50m,6.8,113K
Alien: Romulus,Horror,1h 59m,7.1,256K
Presence,Horror,1h 24m,6.1,31K
Beetlejuice Beetlejuice,Horror,1h 45m,6.6,156K
Smile 2,Horror,2h 7m,6.7,117K
The Shrouds,Horror,2h,5.8,4.8K
Trap,Horror,1h 45m,5.8,146K
MaXXXine,Horror,1h 43m,6.2,75K
Salem's Lot,Horror,1h 54m,5.6,36K
The Rule of Jenny Pen,Horror,1h 44m,6.2,6.7K
1978,Horror,1h 20m,5.0,789
Abigail,Horror,1h 49m,6.5,101K
Oddity,Horror,1h 38m,6.7,47K
A Quiet Place: Day One,Horror,1h 39m,6.3,157K
Kinds of Kindness,Horror,2h 44m,6.5,62K
Terrifier 3,Horror,2h 5m,6.3,52K
Else,Horror,1h 42m,5.6,425
The Crow,Horror,1h 51m,4.7,37K
Saint Clare,Horror,1h 32m,5.1,145
Don't Move,Horror,1h 32m,5.8,41K
Tarot,Horror,1h 32m,4.8,33K
The Watchers,Horror,1h 42m,5.7,59K
Survive,Horror,1h 30m,4.6,3.4K
Immaculate,Horror,1h 29m,5.8,55K
Witchboard,Horror,1h 52m,7.3,124
Please Don't Feed the Children,Horror,1h 34m,4.8,563
Cuckoo,Horror,1h 42m,5.7,30K
Nightbitch,Horror,1h 39m,5.5,21K
Bagman,Horror,1h 33m,4.7,6.6K
MadS,Horror,1h 29m,6.4,9.2K
I Don't Understand You,Horror,1h 37m,5.4,939
The Damned,Horror,1h 29m,5.7,5.9K
Never Let Go,Horror,1h 41m,5.4,17K
The Deliverance,Horror,1h 52m,5.1,23K
Time Cut,Horror,1h 31m,5.0,20K
The First Omen,Horror,1h 59m,6.5,66K
Y2K,Horror,1h 31m,4.8,17K
Exhuma,Horror,2h 14m,6.9,25K
Monster Island,Horror,1h 23m,6.1,109
Hellboy: The Crooked Man,Horror,1h 39m,4.5,15K
Apartment 7A,Horror,1h 47m,5.9,17K
In a Violent Nature,Horror,1h 34m,5.6,28K
Arcadian,Horror,1h 32m,5.5,25K
The Strangers: Chapter 1,Horror,1h 31m,4.6,23K
Apocalypse Z: The Beginning of the End,Horror,1h 57m,6.1,21K
Get Away,Horror,1h 26m,5.3,7.8K
Dead Mail,Horror,1h 46m,6.0,2.3K
Frewaka,Horror,1h 43m,6.1,1.7K
The Platform 2,Horror,1h 39m,4.9,42K
Chime,Horror,45m,6.4,2.8K
Azrael,Horror,1h 26m,5.4,12K
Ick,Horror,1h 27m,5.5,228
Lisa Frankenstein,Horror,1h 41m,6.1,29K
Under Paris,Horror,1h 44m,5.2,37K
Night Swim,Horror,1h 38m,4.7,28K
Your Monster,Horror,1h 43m,6.4,6.5K
Went Up the Hill,Horror,1h 40m,6.6,94
Missing Child Videotape,Horror,1h 44m,5.5,192
Strange Harvest,Horror,1h 34m,6.7,82
The Twin,Horror,1h 43m,7.9,88
The Balconettes,Horror,1h 44m,5.9,1.5K
Dan Da Dan: First Encounter,Horror,1h 23m,8.2,3.1K
Werewolves,Horror,1h 33m,4.4,7.7K
The Devil's Bath,Horror,2h 1m,6.6,6.9K
Sting,Horror,1h 31m,5.7,17K
Outbreak,Horror,1h 28m,4.4,1.3K
A Sacrifice,Horror,1h 34m,5.0,5.8K
A Desert,Horror,1h 43m,5.6,520
Winnie-the-Pooh: Blood and Honey 2,Horror,1h 33m,4.6,12K
V/H/S/Beyond,Horror,1h 54m,5.8,10K
The Inheritance,Horror,1h 25m,4.7,3.1K
Afraid,Horror,1h 24m,5.2,15K
Rumours,Horror,1h 44m,4.9,5.3K
The Master and Margarita,Horror,2h 36m,7.2,5.1K
Lembayung,Horror,2h 3m,5.9,791
N/A,Horror,N/A,N/A,N/A
The Corpse Washer,Horror,1h 47m,6.1,1.3K
Stream,Horror,2h 3m,5.9,9.5K
Die Alone,Horror,1h 30m,5.8,4.1K
Cloud,Horror,2h 4m,6.3,1.7K
The Exorcism,Horror,1h 35m,4.2,12K
Daddy's Head,Horror,1h 32m,5.6,5.6K
Succubus,Horror,1h 43m,4.6,1.4K
Something in the Water,Horror,1h 26m,4.1,5.2K
Lowlifes,Horror,1h 30m,6.2,6.8K
Grafted,Horror,1h 36m,5.6,2.7K
The Radleys,Horror,1h 55m,5.0,3K
Jimmy and Stiggs,Horror,1h 20m,6.3,94
Dead Talents Society,Horror,1h 51m,7.0,2.7K
Night of the Zoopocalypse,Horror,1h 31m,6.0,1K
The Beast Within,Horror,1h 37m,4.3,5.4K
Blackwater Lane,Horror,1h 48m,4.6,2.4K
Ghost Train,Horror,1h 34m,4.5,21
Dirty Boy,Horror,1h 38m,7.5,40
The Painted,Horror,1h 25m,4.8,1.2K
Imaginary,Horror,1h 44m,4.7,18K
Bloody Axe Wound,Horror,1h 23m,5.0,1.1K
Hold Your Breath,Horror,1h 34m,5.3,9K
Sumala,Horror,1h 52m,5.8,1.2K
The Severed Sun,Horror,1h 20m,4.9,401
The Hangman,Horror,1h 32m,3.3,1.1K
Here After,Horror,1h 33m,4.2,1.8K
Outside,Horror,2h 22m,5.1,4.9K
River of Blood,Horror,1h 26m,5.0,2K
Stree 2: Sarkate Ka Aatank,Horror,2h 27m,6.9,43K
Wynonna Earp: Vengeance,Horror,1h 36m,5.5,1.7K
Drive Back,Horror,1h 34m,4.5,678
Humane,Horror,1h 33m,5.5,7.7K
Noise,Horror,1h 33m,6.2,119
Bramayugam,Horror,2h 19m,7.8,15K
The Wailing,Horror,1h 47m,6.1,1.8K
Pins & Needles,Horror,1h 35m,6.5,32
Hotspring Sharkattack,Horror,1h 10m,6.1,66
Shelby Oaks,Horror,1h 39m,5.8,263
The Last Breath,Horror,1h 36m,4.7,2.6K
Parvulos,Horror,1h 59m,6.6,406
The Front Room,Horror,1h 34m,4.6,5.8K
Beezel,Horror,1h 21m,4.9,1.6K
The Devil's Disciples,Horror,1h 22m,8.4,47
Ghost Killer,Horror,1h 45m,6.7,115
Shaitaan,Horror,2h 12m,6.5,55K
The Mouse Trap,Horror,1h 20m,2.4,3.6K
The Banished,Horror,1h 37m,5.4,34
Grave Torture,Horror,1h 57m,6.2,3.1K
Pechi,Horror,1h 50m,5.5,1.5K
Bleeding,Horror,1h 37m,4.3,370
Pedro Páramo,Horror,2h 10m,6.3,3.2K
Death's Sonata,Horror,1h 43m,8.4,510
Spiders on a Plane,Horror,1h 18m,3.9,472
Kryptic,Horror,1h 42m,4.0,648
#MissingCouple,Horror,1h 33m,5.3,764
The Soul Eater,Horror,1h 48m,5.8,3.1K
Things Will Be Different,Horror,1h 42m,5.2,2.9K
We Bury the Dead,Horror,1h 34m,6.9,124
Handling the Undead,Horror,1h 37m,5.3,4.6K
N/A,Horror,N/A,N/A,N/A
Dark Match,Horror,1h 34m,5.4,1.2K
Black,Horror,1h 55m,7.1,2.9K
Queen of Bones,Horror,1h 30m,4.7,289
Mr. Crocket,Horror,1h 28m,5.4,4.9K
Handsome Guys,Horror,1h 41m,6.5,990
Year 10,Horror,1h 36m,5.4,2K
Bloodline Killer,Horror,1h 45m,4.2,5.2K
Munkar,Horror,1h 27m,5.2,566
Room Service,Horror,47m,3.9,327
Mononoke the Movie: The Phantom in the Rain,Horror,1h 29m,6.7,1.4K
Bogieville,Horror,1h 48m,4.0,656
Consumed,Horror,1h 29m,3.7,659
Turno Nocturno,Horror,1h 47m,5.3,719
Bring on the Damned!,Horror,1h 54m,5.0,49
Crescent City,Horror,1h 43m,3.9,1.5K
Koston enkeli,Horror,1h 36m,3.9,59
Little Bites,Horror,1h 45m,4.7,1.4K
Life of Belle,Horror,1h 13m,5.0,704
Munjya,Horror,2h 3m,6.3,26K
The Lost Daughter,Horror,1h 39m,5.7,329
Iconic,Horror,1h 30m,5.2,451
The Dead Thing,Horror,1h 34m,4.7,1K
Murder Mubarak,Horror,2h 20m,5.8,51K
Behave,Horror,1h 28m,2.8,217
Desert Road,Horror,1h 30m,6.8,168
Test Screening,Horror,1h 32m,6.9,68
Terminator: Skynet Rising,Horror,1h 28m,6.6,286
Bhool Bhulaiyaa 3,Horror,2h 38m,4.6,78K
Invasive,Horror,1h 37m,5.6,809
The Beldham,Horror,1h 25m,7.0,49
Devon,Horror,1h 12m,2.6,325
Exorcism Chronicles: The Beginning,Horror,1h 25m,6.4,136
Drained,Horror,1h 47m,4.5,333
Death Whisperer 2,Horror,1h 50m,6.3,1.6K
Hunting Matthew Nichols,Horror,1h 36m,8.8,52
Black Cab,Horror,1h 28m,4.1,1.9K
Swap,Horror,1h 26m,2.9,383
Up the Catalogue,Horror,1h 12m,8.1,10
Shell,Horror,1h 40m,6.8,79
What Happened to Suzy,Horror,1h 34m,6.4,89
The Curse of the Necklace,Horror,1h 39m,4.4,1.4K
N/A,Horror,N/A,N/A,N/A
Out Come the Wolves,Horror,1h 26m,4.7,1.8K
Spin the Bottle,Horror,2h 4m,3.5,1.1K
Carved,Horror,1h 35m,4.4,2.9K
The Killgrin,Horror,1h 23m,6.1,85
Lopaliki Ra Chepta,Horror,1h 52m,8.1,1.5K
Seeds,Horror,1h 22m,4.9,240
The Haunted Apartment: Miss K,Horror,1h 43m,5.6,508
Kalinga,Horror,1h 56m,6.6,9.5K
Heresy,Horror,1h 1m,6.9,319
Destroy All Neighbors,Horror,1h 25m,5.3,2.1K
Goldilocks and the Three Bears: Death and Porridge,Horror,1h 22m,2.2,2K
The Ceremony Is About to Begin,Horror,1h 10m,4.4,837
Demonte Colony 2,Horror,2h 24m,6.6,4.6K
The Containment,Horror,1h 22m,4.7,73
Chain Reactions,Horror,1h 43m,7.1,116
The Ghost,Horror,1h 32m,6.3,130
Campton Manor,Horror,1h 23m,3.4,245
