Title,Genre,Duration,Rating,Voting
Wicked,Romance,2h 40m,7.4,174K
Anora,Romance,2h 19m,7.5,211K
We Live in Time,Romance,1h 48m,7.0,59K
Babygirl,Romance,1h 54m,5.8,65K
The Fall Guy,Romance,2h 6m,6.8,229K
The Count of Monte-Cristo,Romance,2h 58m,7.6,38K
It Ends with Us,Romance,2h 10m,6.3,90K
Challengers,Romance,2h 11m,7.0,160K
The Idea of You,Romance,1h 55m,6.3,76K
Fly Me to the Moon,Romance,2h 12m,6.6,53K
Else,Romance,1h 42m,5.6,425
My Old Ass,Romance,1h 29m,6.9,42K
The Crow,Romance,1h 51m,4.7,37K
On Swift Horses,Romance,1h 59m,6.0,2.7K
Queer,Romance,2h 17m,6.4,24K
The Greatest Hits,Romance,1h 34m,6.2,7.8K
Love Lies Bleeding,Romance,1h 44m,6.6,59K
Mon Potongo,Romance,2h 29m,4.7,759
F*** Marry Kill,Romance,1h 37m,5.3,3.4K
All We Imagine as Light,Romance,1h 58m,7.1,11K
Bonjour Tristesse,Romance,1h 50m,5.8,576
A Family Affair,Romance,1h 51m,5.4,38K
A Nice Indian Boy,Romance,1h 36m,7.4,2.6K
Young Hearts,Romance,1h 39m,7.9,6K
Emmanuelle,Romance,1h 47m,4.1,2K
Culpa Tuya,Romance,1h 58m,5.2,14K
Spaceman,Romance,1h 47m,5.7,44K
Turtles All the Way Down,Romance,1h 51m,6.6,7.6K
Young Woman and the Sea,Romance,2h 9m,7.5,18K
Ask Me What You Want,Romance,1h 54m,3.9,1.3K
Dreams (Sex Love),Romance,1h 50m,7.6,934
Jane Austen Wrecked My Life,Romance,1h 38m,6.4,964
Love Across Time,Romance,1h,7.1,866
Winter Spring Summer or Fall,Romance,1h 37m,6.0,3.2K
Role Play,Romance,1h 40m,5.5,19K
Upgraded,Romance,1h 44m,6.1,31K
Lonely Planet,Romance,1h 34m,5.7,12K
Love Me,Romance,1h 31m,5.1,3.1K
Wild Wild Punjab,Romance,1h 49m,6.2,16K
Lisa Frankenstein,Romance,1h 41m,6.1,29K
Love Li,Romance,2h 48m,6.4,14K
Your Monster,Romance,1h 43m,6.4,6.5K
Went Up the Hill,Romance,1h 40m,6.6,94
Girls Will Be Girls,Romance,1h 58m,7.1,2.8K
Dan Da Dan: First Encounter,Romance,1h 23m,8.2,3.1K
Lick,Romance,1h 15m,6.1,1K
Daniela Forever,Romance,1h 53m,5.9,381
Sidelined: The QB and Me,Romance,1h 39m,5.9,4.2K
Touch,Romance,2h 1m,7.4,6K
Before We Forget,Romance,1h 48m,7.5,156
Premalu,Romance,2h 36m,7.8,21K
Mother of the Bride,Romance,1h 28m,4.8,17K
Kahan Shuru Kahan Khatam,Romance,1h 47m,6.1,3.3K
Killer Heat,Romance,1h 35m,5.6,14K
The Master and Margarita,Romance,2h 36m,7.2,5.1K
The Tearsmith,Romance,1h 43m,5.2,13K
La Cocina,Romance,2h 19m,7.1,3.8K
Die Alone,Romance,1h 30m,5.8,4.1K
Someone Like You,Romance,1h 58m,5.9,2.4K
Find Me Falling,Romance,1h 33m,6.3,13K
Grafted,Romance,1h 36m,5.6,2.7K
Beating Hearts,Romance,2h 46m,7.0,6.2K
Love,Romance,1h 59m,7.3,616
Loveable,Romance,1h 41m,7.7,2.8K
Lilies Not for Me,Romance,1h 39m,7.0,740
Private Tutor,Romance,1h 5m,4.8,243
My Favourite Cake,Romance,1h 37m,7.4,8K
Our Little Secret,Romance,1h 41m,5.7,24K
The Merry Gentlemen,Romance,1h 27m,4.8,10K
Super Happy Forever,Romance,1h 34m,6.8,364
Irish Wish,Romance,1h 33m,5.2,22K
Girl Haunts Boy,Romance,1h 40m,6.3,3.4K
Beautiful Wedding,Romance,1h 40m,4.1,4.4K
Take My Hand,Romance,1h 42m,6.2,365
Teri Baaton Mein Aisa Uljha Jiya,Romance,2h 21m,6.2,55K
The Astronaut Lovers,Romance,1h 56m,7.1,1K
Three Friends,Romance,1h 57m,6.6,892
Sunlight,Romance,1h 36m,7.6,42
Turn Me On,Romance,1h 39m,5.6,804
Uranus 2324,Romance,2h 10m,6.4,5K
Hot Frosty,Romance,1h 32m,5.3,15K
Sex,Romance,1h 58m,6.6,1.5K
Boot Camp,Romance,1h 34m,5.8,1.3K
Wanted: Girlfriend,Romance,49m,4.2,239
The Family Star,Romance,2h 39m,5.4,5.7K
Love in the Big City,Romance,1h 58m,7.4,1.8K
High Tide,Romance,1h 41m,6.4,816
Addition,Romance,1h 31m,8.4,34
Pedro Páramo,Romance,2h 10m,6.3,3.2K
Through My Window: Looking at You,Romance,1h 45m,5.5,5.6K
Hear Me: Our Summer,Romance,1h 49m,7.5,981
Qalb,Romance,2h 27m,6.5,2.4K
Do Aur Do Pyaar,Romance,2h 20m,6.4,12K
Players,Romance,1h 45m,5.7,12K
Grand Tour,Romance,2h 9m,6.5,2.2K
Eks,Romance,2h 1m,4.5,214
From Contract Lover to the Billionaire's Bride,Romance,1h 24m,6.8,566
Drawing Closer,Romance,1h 58m,7.6,2.8K
The Glassworker,Romance,1h 38m,7.2,2K
Rasavathi,Romance,2h 28m,6.4,598
Believe in Christmas,Romance,1h 30m,6.1,870
Ajosepo,Romance,2h 14m,8.8,72
Vulgar,Romance,1h 43m,5.4,205
5lbs of Pressure,Romance,1h 51m,5.2,1.8K
This Is Me... Now,Romance,1h 5m,4.1,7.2K
My Ex's Wedding,Romance,1h 35m,8.8,58
Bau: Artist at War,Romance,2h 10m,7.2,65
Mor Chhainha Bhuinya 2,Romance,2h 40m,7.2,132
This Time Next Year,Romance,1h 56m,5.6,2.4K
You Are the Apple of My Eye,Romance,1h 41m,6.8,3.8K
0000 Kilometre,Romance,1h 50m,2.7,296
White Snake: Afloat,Romance,2h 13m,6.9,593
Freedom,Romance,1h 50m,5.9,1.5K
The Best Christmas Pageant Ever,Romance,1h 39m,6.8,6.3K
Chosen Family,Romance,1h 28m,4.7,526
Amar Singh Chamkila,Romance,2h 25m,7.8,17K
The Dead Thing,Romance,1h 34m,4.7,1K
Murder Mubarak,Romance,2h 20m,5.8,51K
Timestalker,Romance,1h 29m,5.5,3.1K
N/A,Romance,N/A,N/A,N/A
Silent Love,Romance,1h 56m,6.4,444
Marmalade,Romance,1h 39m,6.3,3.8K
3391 Kilometres,Romance,1h 50m,4.3,1.3K
Drained,Romance,1h 47m,4.5,333
Her Seyin Basi Merkür,Romance,1h 45m,3.4,504
Stag,Romance,1h 27m,4.6,477
How to Date Billy Walsh,Romance,1h 38m,5.2,4K
18×2 Beyond Youthful Days,Romance,2h 3m,7.3,2.1K
Intoxicated by Love,Romance,1h 58m,8.5,14K
Swap,Romance,1h 26m,2.9,383
Blue Sun Palace,Romance,1h 56m,6.6,237
Zenithal,Romance,1h 20m,4.9,122
Detective Conan: The Million-Dollar Pentagram,Romance,1h 51m,6.7,1.6K
Gelin Takimi,Romance,1h 49m,3.9,6.5K
Futra Days,Romance,1h 39m,4.2,166
Black Tea,Romance,1h 50m,5.2,625
Romance on the Ranch,Romance,1h 28m,6.8,428
Dandelion,Romance,1h 53m,5.3,422
Given 3: To the Sea,Romance,1h 20m,7.5,171
Meet Me Next Christmas,Romance,1h 45m,5.7,8.7K
N/A,Romance,N/A,N/A,N/A
Five Blind Dates,Romance,1h 23m,5.1,2.1K
Queens of Drama,Romance,1h 54m,6.3,225
Blame the Game,Romance,1h 32m,5.4,5.4K
Siddharth Roy,Romance,2h 28m,6.3,2.9K
Varshangalkku Shesham,Romance,2h 46m,6.6,4.5K
"April, Come She Will",Romance,1h 48m,6.2,471
Mai,Romance,2h 11m,6.8,1.6K
First Taste,Romance,1h 37m,4.1,324
Auron Mein Kahan Dum Tha,Romance,2h 30m,6.4,41K
Cinderella's Curse,Romance,1h 22m,3.4,1.4K
The Air He Breathes,Romance,1h 46m,6.5,444
Art of Love,Romance,1h 39m,4.6,2.5K
Phir Aayi Hasseen Dillruba,Romance,2h 12m,5.8,7K
Here Now,Romance,1h 58m,4.9,491
Lesbian Space Princess,Romance,1h 27m,7.1,212
My Name Is Loh Kiwan,Romance,2h 11m,6.7,4.5K
N/A,Romance,N/A,N/A,N/A
Her Story,Romance,2h 3m,7.6,2K
The Southern Chronicles,Romance,2h,8.7,2.9K
Come Closer,Romance,1h 47m,6.9,301
Two to One,Romance,1h 56m,6.1,869
When in Rome,Romance,1h 38m,6.1,809
Chanchal Haseena,Romance,1h 38m,7.3,39
Christmas in the Spotlight,Romance,1h 27m,5.7,685
Krista,Romance,58m,5.5,61
My Future You,Romance,1h 49m,7.4,317
Wallbanger,Romance,1h 58m,5.6,750
We're All Gonna Die,Romance,1h 50m,5.7,177
A '90s Christmas,Romance,1h 30m,6.0,1.2K
A True Gentleman,Romance,1h 50m,4.5,2.3K
Mr. Manhattan,Romance,1h 50m,6.8,479
The Everything Pot,Romance,1h 30m,7.5,35
Valley of the Shadow of Death,Romance,1h 24m,6.5,87
Honey Money Phony,Romance,1h 55m,6.2,225
El Hawa Sultan,Romance,2h 16m,6.5,894
Enchanting Christmas,Romance,1h 31m,6.3,371
Say a Little Prayer,Romance,1h 43m,8.5,48
Tendaberry,Romance,1h 55m,6.4,283
The Glory of Life,Romance,1h 38m,6.6,472
Rajkumar,Romance,2h 25m,7.4,2.8K
The Umesh Chronicles,Romance,2h 4m,8.5,17
Seni Memahami Kekasih,Romance,1h 31m,8.0,65
Badaa Saat Fi Yawman Ma,Romance,1h 40m,5.8,357
Saint Nick of Bethlehem,Romance,1h 33m,8.9,104
N/A,Romance,N/A,N/A,N/A
Could Have Waited for August,Romance,1h 52m,6.2,866
City Hunter,Romance,1h 42m,6.3,5.8K
Ashes,Romance,1h 40m,4.3,2.7K
Bad Newz,Romance,2h 22m,4.7,26K
Savi,Romance,2h 6m,6.1,35K
Young Werther,Romance,1h 41m,5.5,297
Romeo,Romance,2h 30m,6.0,1.4K
Ipar Adalah Maut,Romance,2h 11m,7.0,1.3K
Across the Sea,Romance,1h 52m,6.4,103
Miracle Mile,Romance,1h 22m,7.3,42
Why Do You?,Romance,1h 43m,5.3,482
Angithee 3,Romance,1h 39m,8.1,64
Música,Romance,1h 31m,6.4,5.1K
Perfect Match,Romance,1h 41m,6.6,369
Plan B,Romance,1h 30m,6.0,1.4K
Love Switch,Romance,1h 29m,6.1,285
Bachhala Malli,Romance,2h 20m,8.2,4K
Ibbani Tabbida Ileyali,Romance,2h 40m,7.4,881
Haunted Heart,Romance,2h 8m,4.7,529
"Love, Divided",Romance,1h 38m,6.0,4.8K
Ek Anjaan Rishtey Ka Guilt 3,Romance,1h 44m,7.9,71
Seven Seas Seven Hills,Romance,1h 30m,8.6,101
Guilty Pleasure,Romance,1h 59m,4.7,178
"Hello, Love, Again",Romance,2h 2m,6.7,956
N/A,Romance,N/A,N/A,N/A
Sex Love Venice,Romance,1h 42m,4.3,373
Still Fabulous,Romance,1h 32m,4.9,883
Tillu Square,Romance,2h 17m,6.6,3.5K
Cinderella's Revenge,Romance,1h 25m,3.7,1.2K
Pantaskah Aku Berhijab,Romance,1h 54m,7.9,84
The Swedish Torpedo,Romance,2h,6.0,298
Another End,Romance,1h 59m,6.4,858
Good Bad Things,Romance,1h 36m,5.8,242
Undergrads,Romance,1h 6m,5.1,65
Darkest Miriam,Romance,1h 27m,5.8,335
Miss You,Romance,2h 8m,6.1,3.2K
Love at 39 Degrees,Romance,1h 55m,5.6,1.5K
A Merry Royal Christmas,Romance,1h 28m,5.4,168
Mr. Bachchan,Romance,2h 30m,3.6,5.3K
Love Me If You Dare,Romance,2h 8m,4.3,484
Langue Étrangère,Romance,1h 41m,6.6,591
Honeymoonish,Romance,1h 40m,5.3,1.6K
Love Story,Romance,2h 5m,5.4,444
Love Reddy,Romance,2h 18m,8.0,2.3K
Previously Saved Version,Romance,1h 57m,5.5,473
The Groomsmen Last Dance,Romance,1h 24m,6.9,385
Perfect Endings,Romance,1h 40m,5.6,237
Jatt & Juliet 3,Romance,2h 15m,5.3,1.9K
Karma's a Bitch,Romance,1h 29m,4.7,46
Trisha on the Rocks,Romance,2h 52m,5.3,3K
Aichaku,Romance,1h 58m,6.8,416
The Groomsmen: First Look,Romance,1h 22m,6.1,416
X & Y,Romance,1h 41m,8.1,17
The Holiday Exchange,Romance,1h 30m,5.6,427
Kang Mak,Romance,2h 2m,6.4,910
Paalum Pazhavum,Romance,2h 27m,4.9,194
DeAr,Romance,2h 12m,5.2,1.7K
Gone Running,Romance,1h 45m,7.0,4.5K
"Love, Wine & Salt: A Tuscan Romance",Romance,1h 20m,5.3,70
The Private Eye,Romance,1h 55m,3.7,164
Raseeli Raatein,Romance,1h 31m,6.7,12
Los pequeños amores,Romance,1h 35m,6.3,405
Viva La Vida,Romance,2h 10m,7.6,893
Umjolo: The Gone Girl,Romance,1h 32m,4.4,290
Mascarpone: The Rainbow Cake,Romance,1h 45m,6.1,558
Season of Love,Romance,2h 6m,5.0,433
Layla,Romance,1h 40m,6.1,480
Chijin no ai,Romance,1h 45m,8.0,11
Stranded Pearl,Romance,1h 30m,5.3,35
"Love, Sitara",Romance,1h 45m,5.3,310
Reloaded 2,Romance,45m,7.5,1.2K
Fake Boyfriend,Romance,1h 55m,9.0,18
Goyo,Romance,1h 46m,6.6,2.3K
She Taught Love,Romance,1h 42m,5.3,429
Passport to Love,Romance,1h 28m,6.2,432
My Boo,Romance,2h 5m,6.1,738
"LSD 2: Love, Sex Aur Dhokha 2",Romance,1h 59m,3.8,2.8K
Maybe Forever,Romance,1h 11m,5.8,104
Elevator,Romance,1h 35m,5.2,190
Bigayan,Romance,43m,6.2,46
A Circus Tale & a Love Song,Romance,1h 54m,5.9,114
Dilan 1983,Romance,1h 56m,6.3,248
N/A,Romance,N/A,N/A,N/A
Pure Love,Romance,1h 49m,7.1,205
Svemu dodje kraj,Romance,1h 29m,6.4,375
Love Lies,Romance,1h 54m,7.0,402
Reversi,Romance,2h 15m,7.0,313
Chainsaws Were Singing,Romance,1h 57m,7.2,391
The Great Gujarati Matrimony,Romance,2h 24m,7.6,96
